"X.x","well","measure_date","napon_ab","napon_bc","napon_ca","elektricna_struja_fazaa","elektricna_struja_fazab","elektricna_struja_fazac","koeficijent_kapaciteta","frekvencija","radno_opterecenje","aktivna_snaga","pritisak_na_prijemu_pumpe","temperatura_motora","temperatura_u_busotini","X.y","esp_type","date_time","label","napon_change","struja_change","frekvencija_change","pritisak_change","temperatura_motora_change","temperatura_busotine_change"
56226,"well_1",2020-07-15 03:23:51,384,410,399,12,12,13,98,42,50,21,114,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
59904,"well_1",2020-07-18 13:07:22,377,401,390,10,10,10,98,41,42,16,110,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
60031,"well_1",2020-07-18 15:40:39,397,403,397,12,12,13,97,41,50,20,108,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",-2,0,0,0,0,0
60041,"well_1",2020-07-18 15:50:41,382,406,399,12,12,12,98,41,48,19,109,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
60055,"well_1",2020-07-18 16:04:16,384,408,399,12,12,12,98,41,48,19,109,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",-13,0,0,0,0,0
60089,"well_1",2020-07-18 16:42:26,401,404,403,10,10,11,98,41,42,16,110,125,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
61212,"well_1",2020-07-19 17:38:20,390,415,408,10,10,11,98,41,42,16,110,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
61273,"well_1",2020-07-19 19:12:03,390,415,403,10,10,11,98,41,42,16,108,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
61540,"well_1",2020-07-20 01:05:54,378,406,394,11,11,11,98,41,45,18,107,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
61794,"well_1",2020-07-20 06:47:36,392,416,408,10,10,10,98,41,42,16,108,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
61845,"well_1",2020-07-20 07:58:42,394,397,394,10,10,11,98,41,42,16,107,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",2,0,0,0,0,0
61846,"well_1",2020-07-20 07:59:19,394,397,394,10,10,11,98,41,42,16,107,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
62584,"well_1",2020-07-20 23:13:42,368,392,382,10,10,10,98,41,42,16,108,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",-2,0,0,0,0,0
